label,noise,success,iterations,similarity
a,0.07,True,28,1.0
a,0.07,True,11,1.0
a,0.07,True,38,1.0
a,0.07,True,9,1.0
a,0.07,True,45,1.0
a,0.07,True,14,1.0
a,0.07,True,20,1.0
a,0.07,True,82,1.0
a,0.07,True,12,1.0
a,0.07,True,0,1.0
a,0.07,True,51,1.0
a,0.07,True,74,1.0
a,0.07,True,55,1.0
a,0.08,True,53,1.0
a,0.08,True,39,1.0
a,0.08,True,23,1.0
a,0.08,True,9,1.0
a,0.08,True,16,1.0
a,0.08,True,21,1.0
a,0.08,True,17,1.0
a,0.08,True,54,1.0
a,0.08,True,0,1.0
a,0.08,True,0,1.0
a,0.08,True,24,1.0
a,0.08,True,41,1.0
a,0.08,True,5,1.0
a,0.08,True,4,1.0
a,0.08,True,17,1.0
a,0.08,True,5,1.0
a,0.08,True,13,1.0
a,0.08,True,136,1.0
a,0.08,True,0,1.0
a,0.08,True,0,1.0
a,0.08,True,0,1.0
a,0.08,True,83,1.0
a,0.08,True,46,1.0
a,0.08,True,33,1.0
a,0.08,True,32,1.0
a,0.08,True,34,1.0
a,0.08,True,21,1.0
a,0.08,True,7,1.0
a,0.08,True,82,1.0
a,0.08,True,50,1.0
a,0.08,True,23,1.0
a,0.08,True,29,1.0
a,0.08,True,81,1.0
a,0.08,True,0,1.0
a,0.08,True,26,1.0
a,0.08,True,8,1.0
a,0.08,True,0,1.0
a,0.08,True,21,1.0
a,0.08,True,68,1.0
a,0.08,True,26,1.0
a,0.08,True,17,1.0
a,0.08,True,52,1.0
a,0.08,True,87,1.0
a,0.08,True,50,1.0
a,0.08,True,33,1.0
a,0.08,True,0,1.0
a,0.08,True,81,1.0
a,0.08,True,34,1.0
a,0.08,True,1,1.0
a,0.08,True,46,1.0
a,0.08,True,23,1.0
a,0.08,True,0,1.0
a,0.08,True,32,1.0
a,0.08,True,33,1.0
a,0.08,True,0,1.0
a,0.08,True,24,1.0
a,0.08,True,3,1.0
a,0.08,True,12,1.0
a,0.08,True,60,1.0
a,0.08,True,37,1.0
a,0.08,True,29,1.0
a,0.08,True,21,1.0
a,0.08,True,43,1.0
a,0.08,True,35,1.0
a,0.08,True,23,1.0
a,0.08,True,4,1.0
a,0.08,True,40,1.0
a,0.08,True,34,1.0
a,0.08,True,50,1.0
a,0.08,True,0,1.0
a,0.08,True,52,1.0
a,0.08,True,3,1.0
a,0.08,True,32,1.0
a,0.08,True,20,1.0
a,0.08,True,30,1.0
a,0.08,True,2,1.0
a,0.08,True,50,1.0
a,0.08,True,43,1.0
a,0.08,True,32,1.0
a,0.08,True,64,1.0
a,0.08,True,10,1.0
a,0.08,True,12,1.0
a,0.08,True,6,1.0
a,0.08,True,169,1.0
a,0.08,True,27,1.0
a,0.08,True,0,1.0
a,0.08,True,31,1.0
a,0.08,True,0,1.0
a,0.08,True,19,1.0
a,0.08,True,45,1.0
a,0.08,True,20,1.0
a,0.08,True,49,1.0
a,0.08,True,61,1.0
a,0.08,True,62,1.0
a,0.08,True,36,1.0
a,0.08,True,29,1.0
a,0.08,True,48,1.0
a,0.08,True,0,1.0
a,0.08,True,90,1.0
a,0.08,True,48,1.0
a,0.08,True,19,1.0
a,0.08,True,0,1.0
a,0.08,True,25,1.0
a,0.08,True,15,1.0
a,0.08,True,13,1.0
a,0.08,True,9,1.0
a,0.08,True,41,1.0
a,0.08,True,18,1.0
a,0.08,True,50,1.0
a,0.08,True,32,1.0
a,0.08,True,18,1.0
a,0.08,True,8,1.0
a,0.08,True,21,1.0
a,0.08,True,0,1.0
a,0.08,True,14,1.0
a,0.08,True,48,1.0
a,0.08,True,26,1.0
a,0.08,True,67,1.0
a,0.08,True,27,1.0
a,0.08,True,15,1.0
a,0.08,True,52,1.0
a,0.08,True,0,1.0
a,0.08,True,49,1.0
a,0.08,True,69,1.0
a,0.08,True,0,1.0
a,0.08,True,23,1.0
a,0.08,True,20,1.0
a,0.08,True,28,1.0
a,0.08,True,34,1.0
a,0.08,True,47,1.0
a,0.08,True,0,1.0
a,0.08,True,36,1.0
a,0.08,True,14,1.0
a,0.08,True,14,1.0
a,0.08,True,19,1.0
a,0.08,True,16,1.0
a,0.08,True,52,1.0
a,0.08,True,15,1.0
a,0.08,True,5,1.0
a,0.08,True,14,1.0
a,0.08,True,111,1.0
a,0.08,True,80,1.0
a,0.08,True,65,1.0
a,0.08,True,27,1.0
a,0.08,True,14,1.0
a,0.08,True,0,1.0
a,0.08,True,60,1.0
a,0.08,True,70,1.0
a,0.08,True,142,1.0
a,0.08,True,59,1.0
a,0.08,True,52,1.0
a,0.08,True,16,1.0
a,0.08,True,0,1.0
a,0.08,True,20,1.0
a,0.08,True,12,1.0
a,0.08,True,31,1.0
a,0.08,True,1,1.0
a,0.08,True,57,1.0
a,0.08,True,0,1.0
a,0.08,True,15,1.0
a,0.08,True,1,1.0
a,0.08,True,35,1.0
a,0.08,True,47,1.0
a,0.08,True,39,1.0
a,0.08,True,18,1.0
a,0.08,True,30,1.0
a,0.08,True,8,1.0
a,0.08,True,23,1.0
a,0.08,True,55,1.0
a,0.08,True,51,1.0
a,0.08,True,47,1.0
a,0.08,True,80,1.0
a,0.08,True,11,1.0
a,0.08,True,0,1.0
a,0.08,True,118,1.0
a,0.08,True,48,1.0
a,0.08,True,19,1.0
a,0.08,True,0,1.0
a,0.08,True,54,1.0
a,0.08,True,75,1.0
a,0.08,True,38,1.0
a,0.08,True,64,1.0
a,0.08,True,29,1.0
a,0.08,True,27,1.0
a,0.08,True,0,1.0
a,0.08,True,40,1.0
a,0.08,True,0,1.0
a,0.08,True,31,1.0
a,0.08,True,29,1.0
a,0.08,True,8,1.0
a,0.08,True,75,1.0
a,0.08,True,87,1.0
a,0.08,True,41,1.0
a,0.08,True,16,1.0
a,0.08,True,30,1.0
a,0.08,True,57,1.0
a,0.08,True,1,1.0
a,0.08,True,39,1.0
a,0.08,True,110,1.0
a,0.08,True,30,1.0
a,0.09,True,38,1.0
a,0.09,True,2,1.0
a,0.09,True,42,1.0
a,0.09,True,52,1.0
a,0.09,True,11,1.0
a,0.09,True,97,1.0
a,0.09,True,65,1.0
a,0.09,True,27,1.0
a,0.09,True,42,1.0
a,0.09,True,16,1.0
a,0.09,True,37,1.0
a,0.09,True,75,1.0
a,0.09,True,18,1.0
a,0.09,True,16,1.0
a,0.09,True,14,1.0
a,0.09,True,11,1.0
a,0.09,True,8,1.0
a,0.09,True,69,1.0
a,0.09,True,10,1.0
a,0.09,True,49,1.0
a,0.09,True,72,1.0
a,0.09,True,33,1.0
a,0.09,True,78,1.0
a,0.09,True,9,1.0
a,0.09,True,9,1.0
a,0.09,True,17,1.0
a,0.09,True,4,1.0
a,0.09,True,42,1.0
a,0.09,True,39,1.0
a,0.09,True,28,1.0
a,0.09,True,37,1.0
a,0.09,True,7,1.0
a,0.09,True,48,1.0
a,0.09,True,0,1.0
a,0.09,True,23,1.0
a,0.09,True,3,1.0
a,0.09,True,0,1.0
a,0.09,True,63,1.0
a,0.09,True,26,1.0
a,0.09,True,49,1.0
a,0.09,True,17,1.0
a,0.09,True,31,1.0
a,0.09,True,21,1.0
a,0.09,True,26,1.0
a,0.09,True,108,1.0
a,0.09,True,0,1.0
a,0.09,True,77,1.0
a,0.09,True,34,1.0
a,0.09,True,119,1.0
a,0.09,True,61,1.0
a,0.09,True,0,1.0
a,0.09,True,13,1.0
a,0.09,True,3,1.0
a,0.09,True,14,1.0
a,0.09,True,13,1.0
a,0.09,True,21,1.0
a,0.09,True,113,1.0
a,0.09,True,15,1.0
a,0.09,True,30,1.0
a,0.09,True,31,1.0
a,0.09,True,12,1.0
a,0.09,True,46,1.0
a,0.09,True,25,1.0
a,0.09,True,35,1.0
a,0.09,True,0,1.0
a,0.09,True,97,1.0
a,0.09,True,50,1.0
a,0.09,True,27,1.0
a,0.09,True,0,1.0
a,0.09,True,55,1.0
a,0.09,True,24,1.0
a,0.09,True,7,1.0
a,0.09,True,21,1.0
a,0.09,True,24,1.0
a,0.09,True,56,1.0
a,0.09,True,35,1.0
a,0.09,True,21,1.0
a,0.09,True,63,1.0
a,0.09,True,53,1.0
a,0.09,True,28,1.0
a,0.09,True,31,1.0
a,0.09,True,0,1.0
a,0.09,True,87,1.0
a,0.09,True,1,1.0
a,0.09,True,48,1.0
a,0.09,True,47,1.0
a,0.09,True,76,1.0
a,0.09,True,108,1.0
a,0.09,True,54,1.0
a,0.09,True,68,1.0
a,0.09,True,13,1.0
a,0.09,True,16,1.0
a,0.09,True,42,1.0
a,0.09,True,30,1.0
a,0.09,True,28,1.0
a,0.09,True,46,1.0
a,0.09,True,0,1.0
a,0.09,True,49,1.0
a,0.09,True,3,1.0
a,0.09,True,59,1.0
a,0.09,True,21,1.0
a,0.09,True,103,1.0
a,0.09,True,23,1.0
a,0.09,True,30,1.0
a,0.09,True,56,1.0
a,0.09,True,65,1.0
a,0.09,True,20,1.0
a,0.09,True,41,1.0
a,0.09,True,43,1.0
a,0.09,True,71,1.0
a,0.09,True,40,1.0
a,0.09,True,85,1.0
a,0.09,True,105,1.0
a,0.09,True,29,1.0
a,0.09,True,143,1.0
a,0.09,True,61,1.0
a,0.09,True,43,1.0
a,0.09,True,71,1.0
a,0.09,True,64,1.0
a,0.09,True,0,1.0
a,0.09,True,6,1.0
a,0.09,True,2,1.0
a,0.09,True,0,1.0
a,0.09,True,56,1.0
a,0.09,True,24,1.0
a,0.09,True,16,1.0
a,0.09,True,46,1.0
a,0.09,True,17,1.0
a,0.09,True,2,1.0
a,0.09,True,1,1.0
a,0.09,True,70,1.0
a,0.09,True,87,1.0
a,0.09,True,14,1.0
a,0.09,True,85,1.0
a,0.09,True,21,1.0
a,0.09,True,25,1.0
a,0.09,True,38,1.0
a,0.09,True,29,1.0
a,0.09,True,6,1.0
a,0.09,True,0,1.0
a,0.09,True,6,1.0
a,0.09,True,67,1.0
a,0.09,True,70,1.0
a,0.09,True,30,1.0
a,0.09,True,29,1.0
a,0.09,True,0,1.0
a,0.09,True,90,1.0
a,0.09,True,116,1.0
a,0.09,True,21,1.0
a,0.09,True,10,1.0
a,0.09,True,92,1.0
a,0.09,True,57,1.0
a,0.09,True,19,1.0
a,0.09,True,34,1.0
a,0.09,True,47,1.0
a,0.09,True,67,1.0
a,0.09,True,27,1.0
a,0.09,True,0,1.0
a,0.09,True,18,1.0
a,0.09,True,0,1.0
a,0.09,True,1,1.0
a,0.09,True,42,1.0
a,0.09,True,44,1.0
a,0.09,True,49,1.0
a,0.09,True,40,1.0
a,0.09,True,0,1.0
a,0.09,True,15,1.0
a,0.09,True,4,1.0
a,0.09,True,105,1.0
a,0.09,True,9,1.0
a,0.09,True,91,1.0
a,0.09,True,13,1.0
a,0.09,True,49,1.0
a,0.09,True,8,1.0
a,0.09,True,54,1.0
a,0.09,True,0,1.0
a,0.09,True,72,1.0
a,0.09,True,22,1.0
a,0.09,True,31,1.0
a,0.09,True,29,1.0
a,0.09,True,37,1.0
a,0.09,True,10,1.0
a,0.09,True,135,1.0
a,0.09,True,34,1.0
a,0.09,True,14,1.0
a,0.09,True,77,1.0
a,0.09,True,27,1.0
a,0.09,True,22,1.0
a,0.09,True,57,1.0
a,0.09,True,27,1.0
a,0.09,True,26,1.0
a,0.09,True,0,1.0
a,0.09,True,1,1.0
a,0.09,True,78,1.0
a,0.09,True,37,1.0
